"Classement des films les plus diffusés sur les chaînes nationales gratuites depuis 1957 1"
"Année                      Nbre      Dernière"
"Titre                              Réalisateurs                          Pays2"
"de sortie                  de diff.   diffusion"
"1   Le Capitan                                      Hunebelle André                  1960      FR / IT          25         2013"
"2   Ne nous fâchons pas                             Lautner Georges                  1965      FR               24         2013"
"3   La Tulipe Noire                                 Christian-Jaque                  1963      FR / IT / ES     24         2012"
"4   Le Pacha                                        Lautner Georges                  1967      FR / IT          23         2013"
"5   Le Grand Restaurant                             Besnard Jacques                  1966      FR               23         2013"
"6   Deux heures moins le quart avant Jésus-Christ   Yanne Jean                       1982      FR               22         2013"
"7   Signes extérieurs de richesse                   Monnet Jacques                   1983      FR               21         2013"
"8   La Zizanie                                      Zidi Claude                      1977      FR               21         2012"
"9   Les Bidasses s'en vont en guerre                Zidi Claude                      1974      FR / IT / DE     21         2013"
"10   Mon nom est Personne                            Valerii Tonino                   1973      FR / IT / DE     21         2013"
"11   Astérix et Cléopâtre                            Goscinny René / Uderzo Alber     1968      FR / BE          21         2013"
"12   Astérix le Gaulois                              Goscinny René / Uderzo Alber     1967      FR               21         2013"
"13   La Traversée de Paris                           Autant-Lara Claude               1956      FR / IT          21         2013"
"14   Pinot simple flic                               Jugnot Gérard                    1984      FR               20         2013"
"15   Viens chez moi, j'habite chez une copine        Leconte Patrice                  1980      FR               20         2013"
"16   Le Guignolo                                     Lautner Georges                  1979      FR / IT          20         2013"
"17   Deux Super-Flics                                Clucher E. B.                    1977      IT               20         2013"
"18   Les Douze Travaux d'Astérix                     Goscinny René / Uderzo Alber     1975      FR               20         2013"
"19   L'Héritier                                      Labro Philippe                   1972      FR / IT          20         2013"
"20   Le Viager                                       Tchernia Pierre                  1971      FR               20         2013"
"21   Pouic-Pouic                                     Girault Jean                     1963      FR               20         2012"
"22   Le Cave se rebiffe                              Grangier Gilles                  1961      FR / IT          20         2013"
"23   Ali Baba et les 40 voleurs                      Becker Jacques                   1954      FR               20         2011"
"24   Nuit d'ivresse                                  Nauer Bernard                    1986      FR               19         2012"
